order_id,account_id,bank_to,account_to,amount,k_symbol
29759,237,0,58324587,1788.00,0
29760,238,4,39059901,2234.00,3
29761,239,1,96977406,1042.00,3
29762,239,6,30218410,5995.00,0
29763,239,4,47741246,152.00,2
29764,240,11,50178039,9621.00,3
29765,240,7,22710114,1050.00,1
29766,241,8,28285497,1344.00,3
29767,241,6,27381342,632.00,0
29768,241,2,14364838,610.00,2
29769,242,11,23104387,1062.00,3
29770,242,11,62032568,2977.00,0
29771,243,5,55282419,1041.00,1
29772,243,3,73269855,3067.00,3
29773,244,6,74832015,2190.00,3
29774,244,7,78948193,226.00,0
29775,244,3,7008588,232.00,2
29776,246,12,8283996,1970.00,3
29780,248,0,15760773,2484.90,1
29781,249,7,26255619,5618.00,3
29782,249,3,99770348,1876.00,0
29783,250,11,24246722,3066.00,3
29784,251,0,92959981,3059.00,3
29785,252,1,91842740,1767.00,3
29788,255,11,88934081,5323.00,3
29789,257,9,61510014,3816.70,1
29790,257,3,22533124,14166.00,3
29791,258,5,37360865,3737.00,3
29792,259,6,86616670,297.00,3
29793,259,2,8156723,2857.00,3
29794,260,3,71713226,5247.00,3
29795,261,4,49824553,2182.00,3
29796,261,9,63415229,371.00,0
29797,263,11,73582678,6145.00,3
29798,264,12,19889706,3307.00,3
29799,265,2,28306174,2900.00,3
29800,266,11,96796440,4975.20,1
29801,267,5,4520118,3074.00,3
29802,268,7,4418570,3121.00,3
29803,269,8,7832789,456.00,3
29804,269,12,55865961,1690.00,0
29805,270,8,95370232,5462.00,3
29806,271,8,67201065,1535.00,3
29807,272,4,15116119,7454.00,3
29808,273,9,77701490,1320.10,1
29809,273,7,80156594,5965.00,3
29810,273,2,85742187,178.00,0
29811,273,12,15870309,1836.00,2
29812,274,9,91567790,9886.00,3
29813,275,1,46536463,198.00,3
29814,275,10,60457825,2062.00,0
29815,276,0,22070646,4470.50,4
29816,276,2,80801391,5212.00,3
29817,277,9,67316442,2682.30,1
29818,278,4,93538832,3362.00,3
29819,278,6,5409831,676.00,1
29820,279,2,46485179,624.00,3
29821,279,8,68556356,1380.00,0
29822,280,5,10603589,3334.00,3
29823,280,10,1495051,4694.00,0
29824,280,8,42263525,957.00,1
29825,281,1,31156671,5578.00,3
29826,282,3,6997305,7531.00,3
29827,282,0,4248011,802.00,0
29828,283,7,9780645,2802.00,3
29829,284,2,34219330,5629.00,3
29830,285,10,52409064,667.00,1
29831,286,9,3664666,9848.00,3
29832,287,1,57389086,772.00,3
29833,287,2,36382317,1572.00,3
29834,288,11,29425543,3257.00,3
29835,288,8,97550320,207.00,3
29836,289,0,78823619,5745.00,3
29837,289,7,72798836,2621.00,0
29838,290,12,60961633,2577.00,4
29839,290,10,10382223,2653.00,3
29840,290,4,5267882,3274.00,0
29841,291,12,46721518,1941.90,1
29842,291,2,31507086,62.00,3
29843,291,12,27026367,12925.00,0
29844,292,5,722319,1986.00,3
29845,293,8,11480212,1636.00,3
29846,293,8,85708903,845.00,0
29847,293,2,34143477,1366.00,2
29848,294,6,91239595,5842.00,3
29849,294,5,94949411,145.00,0
29850,294,4,58432865,430.00,2
29851,294,10,58291846,156.00,0
29852,295,0,78368478,6992.00,3
29853,296,0,63953745,2646.00,3
29854,300,12,46045607,1628.00,3
29855,301,4,99728369,1950.00,3
29856,302,9,12600803,3236.00,3
29857,303,5,43664085,3803.00,3
29858,303,10,25709551,3132.00,4
29859,304,0,27760046,14367.00,3
29860,305,9,77063089,2953.00,3
29861,306,4,70354622,3657.00,3
29862,308,1,17178321,1284.00,1
29863,309,10,74396675,1901.00,4
29865,311,1,93944477,4777.00,3
29866,311,11,80353498,371.00,0
29867,311,3,47159934,3375.00,2
29868,311,12,37490087,355.00,0
29869,311,12,67794364,422.00,4
29870,312,11,31189668,7814.00,3
29871,313,3,6982702,2294.00,3
29872,314,11,56231456,2785.00,4
29873,314,5,99187093,13691.00,3
29874,315,6,6354302,3509.00,4
29875,317,8,93325268,3068.00,3
29876,318,3,74740838,2858.00,3
29877,319,3,41618597,6149.50,4
29878,319,5,87909203,1057.00,3
29879,319,5,32717514,2196.00,0
29880,319,0,559258,416.00,2
29881,321,10,44067668,1876.00,3
29882,322,9,4537106,6550.00,3
29883,323,3,65761726,3025.00,3
29884,324,7,83596694,1785.00,3
29885,324,5,19554490,284.00,3
29886,325,3,69376104,2741.00,3
29887,326,6,44978225,1881.00,3
29888,326,2,63815659,1567.00,3
29889,327,7,86823993,3252.00,3
29890,327,4,47999680,3805.00,0
29891,328,7,10446250,1287.00,3
29892,328,3,3014916,1145.00,3
29893,329,3,73389369,792.00,3
29894,329,10,23747241,3110.00,0
29895,330,7,23515820,6908.00,4
29896,331,10,55443829,3528.00,3
29897,332,6,6061673,2385.00,3
29898,333,8,71807402,1634.00,3
29899,333,8,42206424,72.00,0
29900,333,0,13184309,292.00,2
29901,334,4,5579948,2374.00,3
29902,334,6,37566691,1168.00,0
29903,335,3,80065911,2697.00,3
29904,336,0,40453487,4067.00,3
29905,338,0,37576079,2252.00,3
29906,339,7,60226070,7801.20,4
29907,339,11,52391654,4087.00,3
29908,339,4,21728092,48.00,0
29909,340,1,26790029,917.00,3
29910,340,12,80708729,901.00,3
29911,342,5,44861531,2332.00,3
29912,343,8,15103727,2505.00,3
29913,344,11,47483712,4739.00,3
29914,344,1,77219027,1683.00,4
29915,345,8,68522327,8819.00,3
29916,346,5,13685655,7875.00,3
29917,347,1,37914210,7801.20,4
29918,349,9,83005469,4660.00,3
29919,349,12,66345286,3568.00,4
29920,350,0,77066629,3791.00,3
29921,352,5,56583434,1992.00,3
29922,353,10,38371622,2687.00,3
29923,353,1,53546470,879.00,3
29924,354,10,38533955,4771.00,3
29925,355,11,5620038,5012.00,3
29926,355,3,28271162,2927.00,0
29927,356,3,75963014,4188.00,3
29928,357,2,3304052,1788.00,3
29929,357,4,44572526,280.00,0
29930,358,10,86354624,532.00,3
29931,358,9,65233623,1434.00,0
29932,358,9,94764554,27.00,2
29933,358,9,94047659,73.00,0
29934,359,10,86209541,3544.00,3
29935,361,12,95369791,1941.00,3
29936,361,9,59163767,1388.00,0
29937,362,9,76221531,6001.00,3
29938,362,9,91743081,292.00,0
29939,362,2,62852764,68.00,2
29940,364,9,39232927,2221.00,3
29941,365,12,84520810,1766.00,1
29942,365,8,34196335,11528.00,3
29943,365,8,93025660,1782.00,0
29944,365,10,12044257,5.00,2
29945,365,10,89672892,9.00,0
29946,366,4,75874721,2442.00,3
29947,366,12,11380994,1914.00,0
29948,366,8,29283583,836.00,2
29949,366,9,68747752,3188.00,0
29950,367,5,59022962,6384.00,3
29951,368,9,13122338,4381.00,3
29952,368,2,27974027,742.00,0
29953,368,10,35746020,269.00,2
29954,368,12,33245110,217.00,0
29955,368,10,35739392,1071.00,1
29959,370,6,39040500,215.00,3
29960,370,2,39893967,1188.00,0
29961,370,5,57786190,672.00,2
29962,372,9,65089881,7785.00,3
29963,372,6,83496254,2148.00,0
29964,373,7,55648291,6452.00,3
29965,375,5,32626718,3824.00,3
29966,376,4,32540393,7097.00,3
29967,378,6,28203147,3840.20,4
29968,378,5,6934583,8537.00,3
29969,378,0,85313254,1184.00,0
29970,378,9,70710897,2.00,2
29971,378,5,23140502,4.00,0
29972,379,1,35418421,1561.00,3
29973,379,1,30392295,434.00,0
29974,379,3,42905002,177.00,2
29975,379,4,80296814,312.00,0
29979,382,4,24703598,2235.00,3
29980,382,7,26432061,27.00,0
29981,382,6,87132888,14.00,2
29982,383,2,90773456,2057.00,3
29983,384,6,48816210,2304.10,1
29984,385,11,28537345,2160.00,3
29985,385,9,91164779,31.00,0
29986,385,3,79315310,121.00,2
29987,386,1,39887976,4711.00,3
29988,388,1,48455613,6524.00,3
29989,389,5,8779210,884.00,3
29990,389,11,25948596,3280.00,0
29991,390,12,24210876,4977.00,3
29992,392,3,99824958,1407.00,3
29993,392,11,27344715,5663.00,0
29994,393,0,10808188,302.00,3
29995,393,0,27135431,5920.00,0
30001,395,12,55113202,3871.00,3
30002,395,3,73209607,4036.00,0
30003,395,11,8607322,828.00,1
30004,396,10,71221321,5245.00,3
30005,396,3,26179212,68.00,0
30006,396,7,57553499,308.00,2
30007,396,12,33896279,261.00,0
30008,398,4,60894626,1702.00,3
30009,399,3,54855972,3090.50,1
30010,399,4,47246265,6009.00,3
30011,400,11,99955695,6948.00,3
30012,401,0,66742342,3600.00,3
30013,401,2,88922524,1769.00,0
30014,402,12,77129357,2083.00,3
30015,402,1,98438930,2211.00,0
30016,403,5,15987736,2401.00,3
30017,404,3,68393963,1563.00,3
30018,404,11,36616319,3450.00,0
30019,405,2,24659914,1339.00,1
30020,405,6,56718403,9632.00,3
30021,405,11,11276412,1497.00,0
30022,405,5,1622963,3579.00,2
30023,406,10,36316532,1800.00,3
30024,406,5,28461408,264.00,0
30025,407,11,90311783,5411.00,3
30026,407,2,32662862,14.00,0
30027,408,8,62073033,5042.00,3
30028,409,8,11262268,6810.00,3
30029,410,11,85225909,3825.00,3
30030,411,8,15704101,8499.00,3
30031,412,11,35379701,8727.00,3
30032,413,1,49738037,2107.00,3
30033,414,0,96403741,7870.00,3
30034,415,7,64789080,8740.00,3
30035,416,9,30481368,982.00,3
30036,416,1,54040610,987.00,3
30037,418,6,92404669,9316.00,3
30038,420,5,49270671,7192.00,3
30039,421,12,94967096,5571.00,3
30040,423,10,78170078,1942.00,3
30041,424,11,64132481,4591.00,3
30042,425,9,21181220,2390.00,3
30043,425,7,54766887,806.00,0
30044,425,3,30106497,64.00,2
30045,426,6,45444989,4201.20,4
30046,426,0,9528249,7497.00,3
30047,426,3,34606760,886.00,0
30048,427,1,43451237,8166.00,3
30049,428,6,64758032,3987.00,3
30050,429,4,79427033,5286.00,3
30051,431,3,65853184,6482.00,3
30052,431,5,66201281,715.00,0
30053,434,11,98904990,5666.00,3
30054,434,9,31071788,1637.00,0
30055,435,6,75157016,3189.00,3
30056,436,11,36372977,4885.00,3
30057,436,4,61715274,72.00,0
30058,436,1,51325714,293.00,2
30059,437,1,83092337,2248.00,3
30060,437,12,18505370,3106.00,0
30061,440,8,84914481,5825.00,3
30062,440,3,78983664,1756.00,4
30063,441,7,58999586,4473.00,1
30064,441,12,91662942,3041.00,3
30065,441,11,11125362,765.00,0
30066,442,2,55799275,7455.00,4
30067,442,1,21739507,5606.00,3
30068,442,9,98938321,2068.00,0
30069,443,5,39137601,1508.00,3
30070,443,4,32109809,463.00,0
30071,443,8,69234090,67.00,2
30072,444,8,53384882,4469.00,3
30073,445,8,65335863,3998.00,3
30074,445,4,49652427,7567.00,0
30075,446,2,81248056,6941.00,3
30076,447,3,35721868,5554.00,3
30077,447,9,99847948,554.00,1
30080,449,0,84388368,164.00,3
30081,449,11,77323555,1789.00,3
30082,450,8,70611452,2404.00,3
30083,451,10,62285023,7208.00,4
30084,452,7,27081912,5058.00,3
30085,452,7,33601921,375.00,0
30086,453,8,23475498,7012.00,3
30087,454,3,80305754,5687.00,3
30088,455,9,60398054,8339.00,3
30089,456,11,12626231,4783.10,1
30092,458,0,65390032,9586.00,3
30093,458,1,51641261,1031.00,1
30094,460,6,57986551,3554.00,3
30095,461,7,30994916,1530.00,3
30096,462,9,32409316,8325.00,3
30097,463,8,88697516,6385.00,3
30098,464,10,4756558,3509.00,3
30099,465,9,3081554,1278.50,1
30100,465,4,59340989,11126.00,3
30101,467,10,90201395,3937.00,3
30102,467,0,73301529,2895.00,0
30103,468,0,87048482,3735.00,3
30104,468,12,30738526,499.00,0
30105,469,0,32004195,2672.00,3
30106,470,0,41005563,3568.00,3
30107,470,4,70524096,630.00,0
30108,470,7,43083483,1078.00,2
30109,471,9,26110238,4695.00,3
30110,471,1,97181409,931.00,0
30111,471,1,33731478,253.00,2
30112,471,5,45840859,202.00,0
30113,472,10,6824928,8200.20,4
30114,473,3,65049969,4237.00,3
30115,473,5,67095625,2640.00,0
30116,473,8,76250731,75.00,2
30117,473,12,22973603,333.00,0
30118,474,10,33440119,694.00,3
30119,474,7,79647504,1606.00,0
30120,475,10,33983725,2760.00,3
30121,477,1,7729125,2660.00,3
30122,477,3,40855217,254.00,0
30123,477,4,25759440,463.00,2
30124,478,2,9013551,8137.00,3
30125,479,12,117046,2064.00,3
30126,480,5,12772888,4687.00,3
30127,480,4,72983371,827.00,1
30128,481,3,50636059,64.00,3
30129,481,4,29175484,1825.00,3
30134,483,3,70076584,1940.00,3
30135,484,3,19220835,1652.00,3
30136,484,6,16825324,1995.00,0
30137,484,3,17417866,108.00,2
30138,484,4,31340134,1412.00,0
30139,485,0,58655077,2629.60,1
30140,485,2,89687889,7421.00,3
30141,485,11,56978738,1591.00,0
30142,485,0,20747721,3572.00,2
30143,487,3,40831804,10684.00,3
30144,489,9,53826928,5608.00,3
30145,490,10,89067864,2042.00,3
30146,491,2,26434993,9090.00,3
30147,494,2,88363974,2629.60,1
30148,494,3,24389368,8728.00,3
30149,494,9,62039023,207.00,0
30153,496,4,60471528,3602.00,3
30154,497,2,31873262,3405.00,3
30157,500,11,67136871,2629.60,1
30158,500,6,57751679,3267.00,3
30159,500,0,1471186,539.00,0
30160,501,5,79491948,4382.70,4
30161,502,9,27518320,2498.00,3
30162,503,8,34156501,7175.00,3
30163,503,3,41920358,1746.00,1
30164,504,10,2230048,2308.00,3
30165,505,8,6899768,18.00,3
30166,505,7,5099285,2203.00,0
30167,506,3,21071094,3011.00,3
30168,506,8,70163124,107.00,0
30169,506,4,18590253,278.00,2
30170,506,4,82022094,724.00,0
30171,508,12,41786360,2480.00,3
30172,509,4,50397551,6261.00,4
30173,510,12,34629786,2442.00,3
30174,510,10,64973693,1319.00,0
30175,510,3,56986600,1043.00,2
30176,511,6,4644132,2629.60,1
30177,512,3,88834064,9449.00,3
30178,513,2,99257760,7908.00,3
30179,514,5,49346691,5760.00,3
30180,515,1,6447190,2750.00,3
30181,516,1,22182691,3736.00,3
30182,517,10,82919829,9255.00,3
30183,518,3,39075994,1338.00,3
30184,518,6,13886338,2015.00,3
30185,519,0,65870404,3245.00,3
30186,520,6,67366206,2332.00,3
30187,521,4,98804980,4234.00,3
30188,522,11,31764650,77.00,3
30189,522,3,18812161,4930.00,0
30190,524,0,71994364,5768.00,3
30191,525,6,88872944,4382.70,4
30192,525,9,67853247,6454.00,3
30193,526,6,22128474,5074.00,3
30195,528,4,11964172,2916.00,3
30196,529,6,85919022,3344.00,3
30197,531,7,48101,2144.00,3
30198,533,2,5924845,1319.00,3
30199,533,4,31916600,3427.00,0
30200,534,5,26713061,1747.00,3
30201,534,5,88319682,713.00,0
30202,534,7,71464949,1341.00,2
30203,535,7,26501775,7021.00,3
30204,535,10,15932035,62.00,0
30205,535,6,70218544,765.00,2
30206,536,0,84382724,1742.00,3
30207,536,0,56864386,827.00,3
30208,537,9,79339456,1848.00,3
30209,538,7,5225766,2692.00,3
30210,541,4,97866481,3030.00,3
30211,541,11,97620743,72.00,0
30212,541,0,50762343,5626.00,2
30213,542,11,82309841,2750.00,3
30214,543,2,10095620,647.00,3
30215,543,8,32736635,1086.00,0
30216,543,1,41006070,655.00,2
30217,544,2,24082440,3798.20,4
30218,545,12,87724715,3306.00,3
30219,546,12,87099098,2940.00,3
30220,547,2,48055100,2273.00,3
30221,548,2,87448715,1285.00,3
30222,548,0,56284767,528.00,3
30223,549,7,83005940,1067.00,3
30224,549,1,87506788,3024.00,0
30225,550,3,71731483,1247.00,3
30226,550,11,49558728,349.00,3
30227,552,0,68878775,2097.00,3
30228,555,9,6209928,7218.00,3
30229,555,12,19875437,479.00,0
30230,555,11,3315794,71.00,2
30231,557,6,88362860,2050.00,3
30232,558,1,60158938,4081.00,3
30233,558,11,11205697,1476.00,0
30234,559,1,77164244,2175.00,3
30235,560,8,17489135,5683.00,3
30236,561,8,37346130,343.00,3
30237,561,11,77749645,1308.00,3
30238,563,8,96173613,6245.00,3
30239,564,12,8056086,295.00,3
30240,564,4,56459259,8713.00,0
30241,565,5,67758250,3509.00,3
30242,568,1,60686451,1408.00,1
30243,569,12,87054288,2074.00,3
30244,570,12,48868894,6273.00,3
30245,571,2,93711280,3255.00,3
30246,572,11,64459979,5372.00,3
30247,572,2,76923572,960.00,0
30248,572,8,5563730,349.00,2
30249,572,11,71732580,1413.00,1
30250,573,1,80680703,2249.00,1
30251,575,5,32180041,756.00,3
